street_name,city_district
Abovská,Barca
Adamova,Krásna
Adlerova,Dargovských hrdinov
Agátová,Košická Nová Ves
Alejová,Juh
Alešovo nábrežie,Sever
Alšavská,Vyšné Opátske
Alvinczyho,Sever
Alvinczyho,Staré Mesto
Alžbetina,Staré Mesto
Americká trieda,Sídlisko Ťahanovce
Amurská,Nad jazerom
Andraščíkova,Barca
Aničkin park,Západ
Aténska,Sídlisko Ťahanovce
Atletická,Sever
Austrálska trieda,Sídlisko Ťahanovce
Ázijská trieda,Sídlisko Ťahanovce
Azovská,Nad jazerom
Bačíkova,Staré Mesto
Bahýľova,Barca
Bajzova,Staré Mesto
Baltická,Nad jazerom
Banícka,Sever
Baničova,Krásna
Bankov,Sever
Barčianska,Barca
Barčianska,Juh
Bardejovská,Západ
Baštová,Staré Mesto
Bašťovanského,Dargovských hrdinov
Bauerova,Sídlisko KVP
Bazalková,Šebastovce
Bazová,Vyšné Opátske
Bažantia,Vyšné Opátske
Bedľová ulica,Lorinčík
Belanská,Staré Mesto
Belehradská,Sídlisko Ťahanovce
Bellova,Staré Mesto
Benadova,Dargovských hrdinov
Bencúrova,Staré Mesto
Benediktínska,Krásna
Beniakova,Krásna
Benkova,Krásna
Berlínska,Sídlisko Ťahanovce
Bernatovská,Krásna
Bernolákova,Západ
Berzeviczyho,Barca
Beskydská,Lorinčík
Betliarska,Pereš
Bezručova,Krásna
Bežecká,Sever
Biela,Staré Mesto
Bielocerkevská,Dargovských hrdinov
Bielohorská ulica,Západ
Bielych albatrosov,Barca
Blatná,Západ
Blesková,Juh
Bocatiova,Staré Mesto
Bočiarska,Šaca
Bočná,Staré Mesto
Borievková,Vyšné Opátske
Borodáčova,Barca
Borovicová,Šaca
Bosákova,Staré Mesto
Bottova,Staré Mesto
Branisková,Staré Mesto
Bratislavská,Západ
Brečtanová,Západ
Brestová,Košická Nová Ves
Breznianska,Západ
Brezová,Juh
Brigádnická,Západ
Brnenská,Západ
Brodná,Džungľa
Bronzová,Barca
Bruselská,Sídlisko Ťahanovce
Brusnicová,Ťahanovce
Budanová,Kavečany
Budapeštianska,Sídlisko Ťahanovce
Budovateľská,Šaca
Buková,Košická Nová Ves
Bukovecká,Nad jazerom
Bukureštská,Sídlisko Ťahanovce
Bulharská,Juh
Buzinská,Šaca
Buzulucká,Dargovských hrdinov
Bystrická,Pereš
Cédrová ulica,Vyšné Opátske
Cesta do Hanisky,Šaca
Cesta na Jahodnú,Sever
Cesta pod Hradovou,Sever
Cezmínová,Vyšné Opátske
Cikkerova ulica,Sídlisko KVP
Cimborkova,Sever
Cínová,Barca
Cintorínska,Juh
Cirbusovej,Barca
Clementisova,Dargovských hrdinov
